Sample Point Name,sampleDate,dailyStage (m),dailyVolume (ML/day),qualityCode,Comments
LK7DS_620km,17/03/2016 09:00:01,19.253,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/03/2016 09:00:01,19.244,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/03/2016 09:00:01,19.219,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/03/2016 09:00:01,19.218,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/03/2016 09:00:01,19.235,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/03/2016 09:00:01,19.247,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/03/2016 09:00:01,19.241,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/03/2016 09:00:01,19.233,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/03/2016 09:00:01,19.220,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/03/2016 09:00:01,19.225,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/03/2016 09:00:01,19.227,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,28/03/2016 09:00:01,19.241,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,29/03/2016 09:00:01,19.271,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,30/03/2016 09:00:01,19.288,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,31/03/2016 09:00:01,19.315,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,01/04/2016 09:00:01,19.289,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/04/2016 09:00:01,19.269,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/04/2016 09:00:01,19.256,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/04/2016 09:00:01,19.240,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/04/2016 09:00:01,19.237,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/04/2016 09:00:01,19.262,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/04/2016 09:00:01,19.275,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/04/2016 09:00:01,19.307,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/04/2016 09:00:01,19.284,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/04/2016 09:00:01,19.250,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/04/2016 09:00:01,19.252,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/04/2016 09:00:01,19.267,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/04/2016 09:00:01,19.266,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/04/2016 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/04/2016 09:00:01,19.268,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/04/2016 09:00:01,19.289,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/04/2016 09:00:01,19.277,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/04/2016 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/04/2016 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/04/2016 09:00:01,19.285,0,5,No discharge at this sample point (1 Good)
